1,Abercrombie&Fitch
2,Diesel
3,Tommy Hilfiger
4,Ralph Lauren
5,Marc By Marc Jacobs
6,Emporio Armani
7,Saint Laurent
8,Chrome Hearts
9,Fred Perry
10,Paul Smith
11,Calvin Klein
12,Vans
13,Champion
14,Muji
15,A Bathing Ape
16,Uniqlo
17,Forever21
18,Nike
19,H&M
20,Adidas
21,Gap
